"primerid" "Pr(>Chisq)" "coef" "FDR"
"Cys" 2.4353853704705e-06 0.250727569231621 1.11176332156032e-05
"Cyt-b5" 6.0930342215323e-06 0.213301682621959 2.55316322044059e-05
"Dbp80" 8.74340814306081e-08 -0.212934916521621 5.1951573252155e-07
"Dgk" 3.13388606147147e-05 -0.217222593331121 0.00011221615455618
"Dp1" 0.00370513847566911 0.159893444885506 0.00840579900641699
"Drak" 0.00288647490023808 -0.175560932339074 0.00680989771631798
"ERp60" 0.00245348910306268 0.218868291636987 0.00588732534773373
"Eip74EF" 1.1479688788721e-06 -0.216188006072899 5.60508283031899e-06
"Eip75B" 5.4848163880901e-16 -0.66010607020549 1.14063866737503e-14
"Eip93F" 8.60867174902352e-26 -1.05424753269811 5.37085465230745e-24
"Fas1" 7.29555815489416e-06 -0.269376139571833 2.96844630722686e-05
"Fas2" 2.04773464194141e-11 -0.67184192612329 2.12926481750018e-10
"Fas3" 1.29496568149285e-07 -0.387866069773677 7.34467909250742e-07
"Fatp1" 0.00206280319900097 -0.21298782129046 0.00501412985384867
"Frl" 1.46011261995275e-07 -0.414162153822017 8.11735877330168e-07
"Gale" 0.00166439985907784 0.144474546079188 0.00412609501488833
"Gdap2" 0.000141002534257913 -0.309281148349122 0.000430287624922923
"Gmap" 5.7551642782486e-61 -1.77085662918336 1.61576237111829e-58
